regioncode,folder,filename,path
420021,1saibun,42_nagasaki_area.geojson,GAS\1saibun\42_nagasaki_area.geojson
420021,sikutyousonnwomatometatiikitou,42_nagasaki_region.geojson,GAS\sikutyousonnwomatometatiikitou\42_nagasaki_region.geojson
420022,1saibun,42_nagasaki_area.geojson,GAS\1saibun\42_nagasaki_area.geojson
420022,sikutyousonnwomatometatiikitou,42_nagasaki_region.geojson,GAS\sikutyousonnwomatometatiikitou\42_nagasaki_region.geojson
420031,1saibun,42_nagasaki_area.geojson,GAS\1saibun\42_nagasaki_area.geojson
420031,sikutyousonnwomatometatiikitou,42_nagasaki_region.geojson,GAS\sikutyousonnwomatometatiikitou\42_nagasaki_region.geojson
420032,1saibun,42_nagasaki_area.geojson,GAS\1saibun\42_nagasaki_area.geojson
420032,sikutyousonnwomatometatiikitou,42_nagasaki_region.geojson,GAS\sikutyousonnwomatometatiikitou\42_nagasaki_region.geojson
420033,1saibun,42_nagasaki_area.geojson,GAS\1saibun\42_nagasaki_area.geojson
420033,sikutyousonnwomatometatiikitou,42_nagasaki_region.geojson,GAS\sikutyousonnwomatometatiikitou\42_nagasaki_region.geojson
420041,1saibun,42_nagasaki_area.geojson,GAS\1saibun\42_nagasaki_area.geojson
420041,sikutyousonnwomatometatiikitou,42_nagasaki_region.geojson,GAS\sikutyousonnwomatometatiikitou\42_nagasaki_region.geojson
420042,1saibun,42_nagasaki_area.geojson,GAS\1saibun\42_nagasaki_area.geojson
420042,sikutyousonnwomatometatiikitou,42_nagasaki_region.geojson,GAS\sikutyousonnwomatometatiikitou\42_nagasaki_region.geojson
4220100,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4220201,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4220202,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4220300,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4220400,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4220500,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4220700,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4220800,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4220901,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4220902,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4221000,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4221100,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4221201,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
4221202,sityousontou,42_nagasaki_region.geojson,GAS\sityousontou\42_nagasaki_region.geojson
